Designator,Val,Package,Mid X,Mid Y,Rot,Layer
C1,100n,C_0402_1005Metric,128.5,-40.5,180,top
C2,100n,C_0402_1005Metric,131.5,-31.75,-90,top
C3,100n,C_0402_1005Metric,123,-28.5,0,top
C4,100n,C_0402_1005Metric,119.5,-31.75,90,top
C5,10u,C_0603_1608Metric,132,-28,180,top
C6,10n,C_0402_1005Metric,119.5,-35.75,90,top
C7,1u,C_0402_1005Metric,117,-39.25,0,top
C8,1u,C_0402_1005Metric,115,-41.5,0,top
C9,100n,C_0402_1005Metric,121.28,-40.65,0,top
C10,10p,C_0402_1005Metric,118,-33.5,90,top
C11,10p,C_0402_1005Metric,118,-37.5,90,top
C12,22u,C_0805_2012Metric,131.5,-39.5,0,top
C13,22u,C_0805_2012Metric,135.5,-39.5,0,top
D1,RED,LED_0603_1608Metric,137.5,-42.5,180,top
FB1,120R,L_0603_1608Metric,119,-40.25,-90,top
H1,MountingHole,MountingHole_2.2mm_M2,111,-48,0,top
H2,MountingHole,MountingHole_2.2mm_M2,141.5,-48,0,top
H3,MountingHole,MountingHole_2.2mm_M2,141.5,-20.5,0,top
H4,MountingHole,MountingHole_2.2mm_M2,111,-20.5,0,top
J1,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,140.745,-33.505,90,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,135.81,-19.5,-90,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,123.81,-19.5,-90,top
J4,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,116.88,-49,90,top
R1,1k5,R_0402_1005Metric,134.5,-32.5,-90,top
R2,1k5,R_0402_1005Metric,137,-44,180,top
R3,1k5,R_0402_1005Metric,117,-46,0,top
R4,1k5,R_0402_1005Metric,121.5,-46,0,top
R5,10k,R_0402_1005Metric,118,-30,0,top
SW1,SW_SPDT,SW_SPDT_PCM12,110,-28,-90,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,125.5,-34.5,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,132,-45.5,-90,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,115.5,-34.5,-90,top
